Date,Open,High,Low,Close,Volume
2016-01-25,60.00827800736161,60.5174369343243,59.368191706406215,59.433652618694516,2767392
2016-01-26,59.46274862750212,59.768243985838595,58.851757910829186,59.61549630667035,4817710
2016-01-27,59.36091429031101,60.55380563300186,58.88812070401399,59.470021356289685,4563864
2016-01-28,59.55002735491131,60.00099504698174,55.673128073210904,55.86951633436812,10646494
2016-01-29,56.26957057728374,57.767957044421536,56.175014093721906,57.53519792768736,7402523
2016-02-01,56.88783954921925,57.57884720317984,56.21138246239045,57.02604218989444,4263348
2016-02-02,56.48780292963257,56.95332131352089,55.34582172764328,55.49857497651568,5049797
2016-02-03,55.614943129727024,56.407782645520996,53.95653345192474,55.34581310153713,7322532
2016-02-04,55.243996571834984,55.66587439216299,53.41829369490843,54.029284566210336,6663584
2016-02-05,53.94200272233176,55.149439428022134,53.49830459720585,54.058379556286475,6635519
2016-02-08,53.49828609354727,54.247479391772586,52.97457664834476,53.96380436719049,4571117
2016-02-09,53.410988743451504,54.52386831908675,52.894554684469796,53.63647255175515,5423786
2016-02-10,54.00269430447848,54.83767376661745,53.45336541685746,53.51928220110202,4991460
2016-02-11,52.88206076403059,53.1970095622024,51.87862353278707,52.31075959247769,5702754
2016-02-12,52.420626201103985,52.53781905003521,51.585646710688124,52.20089240338924,6656331
2016-02-16,52.698948623096754,53.77563412819067,52.68430231162646,53.70971734448077,5057260
2016-02-17,54.207779666898325,54.87429585410716,53.533931941331765,54.69851216346764,4204801
2016-02-18,53.775653669275236,54.60331306369371,53.58522361065073,53.81227784335309,5907302
2016-02-19,53.24095059279744,53.5192751809818,52.8820517432235,53.1823541780023,6990798
2016-02-22,53.40212680809892,53.936804115098845,52.80884745558878,53.475369585871626,5962591
2016-02-23,53.541273484144426,54.56668888961586,53.51197526249503,53.81227784335309,4636707
2016-02-24,53.709747165174605,54.40556190162218,53.20436252388324,54.27372267294032,3821982
2016-02-25,54.39820945304786,54.852323372456304,54.03199017263992,54.8010528967217,4526970
2016-02-26,55.2405068227545,55.5115110622563,53.76830955459959,53.907469060884786,5053476
2016-02-29,53.739024973171745,53.739024973171745,52.720935711665064,52.7355820257021,6023136
2016-03-01,53.19700307244905,53.328842218113174,52.63302791981263,53.277571749691674,4773878
2016-03-02,53.270257057451005,54.23707569918753,53.05784921194024,54.21509784918637,7083297
2016-03-03,54.05398550875768,54.11990231828368,53.160409281419255,53.65114193477247,4757901
2016-03-04,53.73901134589167,54.244390078932966,53.39476437865103,53.907469060884786,3659584
2016-03-07,53.59251618532,54.17114318971134,53.32151755469852,53.76097947543353,3619116
2016-03-08,53.424068957339244,54.60329545514305,53.38744479507201,53.46801348160985,3446522
2016-03-09,53.84156112264332,54.15650993288783,53.468015885361964,53.863533385766424,2493260
2016-03-10,54.200478741519824,54.35429024035359,53.05054988903992,53.48268615889688,4645116
2016-03-11,53.812261663929384,54.896267598713386,53.60717976210878,54.6765393845039,3707515
